indicator_key,var_id,indikator,unit,subject,source_domain,kode_wilayah,nama_wilayah,turvar_id,turvar_label,th_id,tahun,turth_id,turth_label,nilai,data_key,last_update
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7172,Kota Bitung,0,Tidak ada,121,2021,0,Tahun,9.89,717241501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7173,Kota Tomohon,0,Tidak ada,121,2021,0,Tahun,10.74,717341501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7174,Kota Kotamobagu,0,Tidak ada,121,2021,0,Tahun,10.31,717441501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7200,SULAWESI TENGAH,0,Tidak ada,121,2021,0,Tahun,8.89,720041501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7201,Banggai Kepulauan,0,Tidak ada,121,2021,0,Tahun,8.44,720141501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7202,Banggai,0,Tidak ada,121,2021,0,Tahun,8.53,720241501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7203,Morowali,0,Tidak ada,121,2021,0,Tahun,9.34,720341501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7204,Poso,0,Tidak ada,121,2021,0,Tahun,9.5,720441501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7205,Donggala,0,Tidak ada,121,2021,0,Tahun,7.98,720541501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7206,Toli-Toli,0,Tidak ada,121,2021,0,Tahun,8.76,720641501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7207,Buol,0,Tidak ada,121,2021,0,Tahun,9.08,720741501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7208,Parigi Moutong,0,Tidak ada,121,2021,0,Tahun,7.74,720841501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7209,Tojo Una-Una,0,Tidak ada,121,2021,0,Tahun,8.4,720941501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7210,Sigi,0,Tidak ada,121,2021,0,Tahun,8.82,721041501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7211,Banggai Laut,0,Tidak ada,121,2021,0,Tahun,8.63,721141501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7212,Morowali Utara,0,Tidak ada,121,2021,0,Tahun,8.72,721241501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7271,Kota Palu,0,Tidak ada,121,2021,0,Tahun,11.72,727141501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7300,SULAWESI SELATAN,0,Tidak ada,121,2021,0,Tahun,8.46,730041501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7301,Kepulauan Selayar,0,Tidak ada,121,2021,0,Tahun,8.08,730141501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7302,Bulukumba,0,Tidak ada,121,2021,0,Tahun,7.82,730241501210,2025-11-05 12:00:46
