indicator_key,var_id,kode_wilayah,th_id,turvar_id,turth_id,data_key,source_domain,nilai,last_update,artifact_path,snapshot_id
poverty_rate,192,1300,122,433,61,130019243312261,0000,6.86,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1300,122,433,62,130019243312262,0000,7.2,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1300,122,434,61,130019243412261,0000,5.92,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1300,122,434,62,130019243412262,0000,6.04,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1300,123,432,61,130019243212361,0000,4.67,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1300,123,433,61,130019243312361,0000,7.23,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1300,123,434,61,130019243412361,0000,5.95,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1300,124,432,61,130019243212461,0000,4.72,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1300,124,432,62,130019243212462,0000,4.16,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1300,124,433,61,130019243312461,0000,7.28,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1300,124,433,62,130019243312462,0000,6.79,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1300,124,434,61,130019243412461,0000,5.97,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1300,124,434,62,130019243412462,0000,5.42,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1400,121,432,61,140019243212161,0000,6.52,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1400,121,432,62,140019243212162,0000,6.72,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1400,121,433,61,140019243312161,0000,7.51,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1400,121,433,62,140019243312162,0000,7.19,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
